name, order, depencies, score
Strafunski-StrategyLib, 570, 10, 2
projectroot, 571, 7, 2
pathwalk, 572, 8, 1
Win32-notify, 573, 10, 1
pure-cdb, 574, 14, 1
rotating-log, 575, 8, 1
FindBin, 576, 7, 1
hmatrix, 577, 14, 18
MonadRandom, 578, 9, 48
hw-prim, 579, 10, 12
edit-distance, 580, 7, 4
monad-par-extras, 581, 12, 18
tf-random, 582, 8, 28
transient, 583, 12, 4
HPDF, 584, 19, 2
unfoldable, 585, 9, 4
dpor, 586, 8, 4
parallel-io, 587, 8, 2
abstract-deque, 588, 7, 16
commutative, 589, 7, 5
HCodecs, 590, 9, 1
arithmoi, 591, 10, 1
ChasingBottoms, 592, 11, 1
Yampa, 593, 6, 1
checkers, 594, 8, 1
hinotify, 595, 10, 3
linux-file-extents, 596, 7, 1
posix-realtime, 597, 7, 1
system-posix-redirect, 598, 7, 1
hdaemonize, 599, 12, 1
btrfs, 600, 7, 1
Ebnf2ps, 601, 12, 1
linux-namespaces, 602, 7, 1
vector-algorithms, 603, 11, 88
mwc-probability, 604, 9, 18
rng-utils, 605, 10, 1
mwc-random-monad, 606, 10, 1
pipes-random, 607, 13, 1
typography-geometry, 608, 10, 1
clustering, 609, 14, 1
exceptions, 610, 11, 14873
bifunctors, 611, 14, 10048
file-embed, 612, 11, 52
generic-deriving, 613, 8, 94
fclabels, 614, 9, 14
generics-sop, 615, 7, 12
microlens-th, 616, 9, 10
data-lens-light, 617, 9, 15
th-extras, 618, 7, 25
names-th, 619, 8, 39
vector-th-unbox, 620, 10, 22
loch-th, 621, 7, 5
th-expand-syns, 622, 9, 186
placeholders, 623, 7, 4
traverse-with-class, 624, 8, 14
repa, 625, 13, 3
iterable, 626, 12, 4
testing-feat, 627, 12, 14
geniplate-mirror, 628, 9, 2
language-haskell-extract, 629, 8, 2
overloaded-records, 630, 8, 2
heredoc, 631, 7, 2
RepLib, 632, 10, 2
lens-family-th, 633, 7, 15
logging-facade, 634, 8, 2
tuple-th, 635, 8, 4
monadloc, 636, 8, 2
gamma, 637, 12, 2
enummapset-th, 638, 8, 2
concatenative, 639, 7, 2
bindings-GLFW, 640, 8, 2
string-qq, 641, 7, 1
syb-with-class, 642, 9, 1
include-file, 643, 10, 1
test-simple, 644, 12, 1
stm-stats, 645, 10, 1
publicsuffix, 646, 8, 1
raw-strings-qq, 647, 7, 1
ghc-heap-view, 648, 11, 1
type-level-numbers, 649, 7, 1
true-name, 650, 7, 1
yarr, 651, 11, 1
FenwickTree, 652, 9, 1
diff3, 653, 6, 1
djinn-ghc, 654, 11, 3
data-default, 655, 11, 703
asn1-encoding, 656, 8, 8967
lifted-base, 657, 8, 10030
resource-pool, 658, 14, 222
list-t, 659, 11, 13
success, 660, 9, 4
monad-extras, 661, 10, 1
vault, 662, 8, 1520
charset, 663, 9, 43
witherable, 664, 12, 8
dynamic-state, 665, 9, 3
expiring-cache-map, 666, 8, 2
hyphenation, 667, 9, 1
islink, 668, 7, 1
once, 669, 11, 1
cache, 670, 10, 1
graph-core, 671, 13, 1
contravariant, 672, 10, 5134
extensible-effects, 673, 13, 1
graphs, 674, 11, 1
RefSerialize, 675, 13, 8
HSet, 676, 11, 2
lrucaching, 677, 11, 1
HsOpenSSL-x509-system, 678, 8, 1
prometheus-metrics-ghc, 679, 14, 1
crypto-cipher-types, 680, 8, 287
crypto-random, 681, 11, 291
pwstore-fast, 682, 14, 4
pbkdf, 683, 13, 3
parsec, 684, 10, 1123
blaze-builder, 685, 8, 13996
scientific, 686, 12, 9068
case-insensitive, 687, 9, 5650
xml-types, 688, 8, 486
fast-logger, 689, 14, 1152
xml, 690, 8, 47
haskell-gi-base, 691, 8, 396
system-filepath, 692, 8, 131
http-api-data, 693, 10, 478
safecopy, 694, 18, 78
mime-types, 695, 8, 600
path-pieces, 696, 9, 362
tagsoup, 697, 8, 54
hsp, 698, 10, 65
cairo, 699, 11, 28
wl-pprint-text, 700, 8, 82
string-conversions, 701, 9, 171
glib, 702, 9, 29
fsnotify, 703, 14, 24
zip-archive, 704, 17, 14
reform, 705, 10, 26
uuid-types, 706, 11, 65
monoid-subclasses, 707, 12, 16
th-lift-instances, 708, 15, 149
double-conversion, 709, 8, 14
chunked-data, 710, 12, 32
text-icu, 711, 8, 10
ListLike, 712, 14, 15
web-plugins, 713, 11, 9
convertible, 714, 13, 19
ekg-core, 715, 10, 5
boomerang, 716, 13, 29
cmark, 717, 8, 7
OpenGLRaw, 718, 11, 27
hflags, 719, 11, 4
irc-ctcp, 720, 8, 8
direct-sqlite, 721, 8, 4
mainland-pretty, 722, 9, 3
clay, 723, 10, 4
text-binary, 724, 8, 3
bitcoin-script, 725, 9, 11
uri-encode, 726, 9, 7
readable, 727, 8, 6
bytestring-tree-builder, 728, 10, 2
chell, 729, 17, 2
text-manipulate, 730, 8, 2
tinytemplate, 731, 8, 2
template, 732, 10, 2
fortran-src, 733, 14, 2
drifter, 734, 10, 2
protolude, 735, 13, 2
store-core, 736, 11, 3
regex-applicative-text, 737, 10, 2
pinch, 738, 13, 1
mbox, 739, 11, 1
feature-flags, 740, 8, 1
shortcut-links, 741, 8, 1
quickcheck-text, 742, 9, 1
string-class, 743, 9, 1
discount, 744, 8, 1
cased, 745, 8, 1
htaglib, 746, 8, 1
pgp-wordlist, 747, 11, 1
hstatsd, 748, 11, 1
string-conv, 749, 8, 1
unicode-transforms, 750, 8, 1
hformat, 751, 9, 1
text-conversions, 752, 15, 1
text-metrics, 753, 8, 1
hfsevents, 754, 13, 1
sundown, 755, 8, 1
hsexif, 756, 9, 1
identicon, 757, 13, 1
JuicyPixels-extra, 758, 13, 1
protobuf, 759, 15, 3
bson, 760, 17, 4
crackNum, 761, 9, 3
monad-unlift, 762, 15, 10
unit-constraint, 763, 12, 4
distributed-closure, 764, 16, 1
typelits-witnesses, 765, 14, 1
network-transport-inmemory, 766, 12, 1
network-transport-tests, 767, 14, 1
network-transport-tcp, 768, 12, 1
network-transport-composed, 769, 10, 1
distributed-static, 770, 8, 1
hspec-meta, 771, 18, 1
fft, 772, 12, 2
pureMD5, 773, 12, 21
cryptohash-cryptoapi, 774, 13, 4
monadcryptorandom, 775, 12, 2
skein, 776, 11, 121
cipher-aes128, 777, 11, 2
monad-coroutine, 778, 9, 3
lattices, 779, 14, 1
optparse-applicative, 780, 12, 159
Cabal, 781, 11, 254
cmdargs, 782, 9, 24
extra, 783, 8, 25
gitrev, 784, 11, 8
doctest, 785, 12, 2
simple-smt, 786, 8, 2
open-browser, 787, 8, 2
Hclip, 788, 11, 3
debian-build, 789, 10, 1
funcmp, 790, 8, 1
lhs2tex, 791, 11, 1
read-editor, 792, 8, 1
weigh, 793, 14, 1
nix-paths, 794, 8, 1
libgit, 795, 10, 1
wizards, 796, 14, 2
intero, 797, 14, 1
pwstore-purehaskell, 798, 14, 8
haskell-src-exts, 799, 12, 123
dyre, 800, 15, 4
ghci, 801, 15, 1
hspec-setup, 802, 9, 1
hmatrix-gsl, 803, 18, 5
hmatrix-gsl-stats, 804, 15, 4
cubicspline, 805, 16, 1
random-shuffle, 806, 10, 11
hspec-core, 807, 18, 26
transient-universe, 808, 17, 2
monad-par, 809, 18, 15
mono-traversable, 810, 18, 60
mcmc-types, 811, 11, 9
temporary, 812, 15, 43
safe-exceptions, 813, 12, 30
retry, 814, 15, 7
network-simple, 815, 14, 5
pipes-safe, 816, 17, 10
concurrent-output, 817, 23, 5
concurrency, 818, 16, 5
bimap, 819, 13, 3
hreader, 820, 18, 2
hint, 821, 17, 2
ether, 822, 16, 1
hpio, 823, 24, 1
simple-log, 824, 21, 1
sdl2, 825, 19, 1
zeromq4-haskell, 826, 18, 1
pagination, 827, 12, 1
